DateFin|CustomerRef|JouFin|DocFin|MtPaye|JouFact|NumFact|MtFact|CommStruc
20210414|8778|BELM|200040|110.00|FV4M|210029|110.00|1348250248
20210414|8763|BELM|200040|110.00|FV4M|210028|110.00|4032387171
